state,month,year,cars_sales,capital_gains,dividend_income,total_income,nb_returns,population,post_crash,exposure
AL,12,1933,488,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,12,1932,408,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,12,1931,666,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,12,1930,1159,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AL,12,1929,3079,9440722,15540573,166639611,26891,2573000,1,0.0932585770378449
AR,1,1934,581,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,1,1933,1536,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,1,1932,1594,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,1,1931,1249,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,1,1930,2555,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,1,1929,4234,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,2,1934,1554,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,2,1933,844,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,2,1932,578,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,2,1931,707,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,2,1930,1640,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,2,1929,1752,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,3,1934,1702,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,3,1933,495,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,3,1932,324,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,3,1931,799,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,3,1930,1992,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,3,1929,2659,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,4,1934,1450,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,4,1933,594,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,4,1932,409,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,4,1931,964,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,4,1930,2310,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,4,1929,2927,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,5,1934,1365,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,5,1933,924,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,5,1932,428,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,5,1931,871,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,5,1930,1883,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,5,1929,2650,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,6,1934,973,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,6,1933,1118,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,6,1932,486,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,6,1931,616,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,6,1930,882,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,6,1929,1837,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,7,1934,2692,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,7,1933,1369,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,7,1932,1017,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,7,1931,1804,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,7,1930,3937,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,7,1929,5774,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,8,1934,1228,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,8,1933,1421,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,8,1932,500,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,8,1931,1018,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,8,1930,1405,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,8,1929,3362,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,9,1934,1132,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,9,1933,1081,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,9,1932,371,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,9,1931,490,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,9,1930,971,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,9,1929,2095,3218488,7764220,88936786,16660,1944000,0,0.0873004338159915
AR,10,1934,1724,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,10,1933,1196,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,10,1932,1042,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,10,1931,763,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,10,1930,1241,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,10,1929,5370,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,11,1934,1010,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,11,1933,829,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,11,1932,293,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,11,1931,373,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,11,1930,421,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,11,1929,2059,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,12,1934,346,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,12,1933,219,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,12,1932,52,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,12,1931,45,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,12,1930,66,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AR,12,1929,177,3218488,7764220,88936786,16660,1944000,1,0.0873004338159915
AZ,1,1934,196,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,1,1933,183,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,1,1932,206,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,1,1931,423,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,1,1930,872,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,1,1929,1301,6809589,4835565,66770720,11527,474000,0,0.0724204411754134
AZ,2,1934,346,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,2,1933,158,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,2,1932,198,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,2,1931,395,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,2,1930,944,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,2,1929,1448,6809589,4835565,66770720,11527,474000,0,0.0724204411754134
AZ,3,1934,458,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,3,1933,185,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,3,1932,187,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,3,1931,572,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,3,1930,1013,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,3,1929,1748,6809589,4835565,66770720,11527,474000,0,0.0724204411754134
AZ,4,1934,385,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,4,1933,135,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,4,1932,155,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,4,1931,340,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,4,1930,753,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,4,1929,1287,6809589,4835565,66770720,11527,474000,0,0.0724204411754134
AZ,5,1934,949,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,5,1933,526,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,5,1932,334,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,5,1931,989,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,5,1930,1397,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,5,1929,2411,6809589,4835565,66770720,11527,474000,0,0.0724204411754134
AZ,6,1934,773,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,6,1933,511,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,6,1932,301,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,6,1931,509,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,6,1930,866,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,6,1929,1722,6809589,4835565,66770720,11527,474000,0,0.0724204411754134
AZ,7,1934,716,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,7,1933,369,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,7,1932,183,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,7,1931,523,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,7,1930,688,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,7,1929,1508,6809589,4835565,66770720,11527,474000,0,0.0724204411754134
AZ,8,1934,696,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,8,1933,390,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,8,1932,222,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,8,1931,413,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,8,1930,641,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,8,1929,1607,6809589,4835565,66770720,11527,474000,0,0.0724204411754134
AZ,9,1934,585,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,9,1933,351,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,9,1932,213,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,9,1931,408,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,9,1930,573,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,9,1929,1580,6809589,4835565,66770720,11527,474000,0,0.0724204411754134
AZ,10,1934,496,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,10,1933,336,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,10,1932,202,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,10,1931,312,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,10,1930,475,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,10,1929,1451,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,11,1934,466,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,11,1933,278,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,11,1932,164,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,11,1931,256,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,11,1930,304,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,11,1929,1158,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,12,1934,406,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,12,1933,203,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,12,1932,164,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,12,1931,260,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,12,1930,459,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
AZ,12,1929,985,6809589,4835565,66770720,11527,474000,1,0.0724204411754134
CA,1,1934,4603,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,1,1933,5984,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,1,1932,6830,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,1,1931,12379,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,1,1930,13902,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,1,1929,18567,249109737,262827381,2060756201,316738,4556000,0,0.127539289156311
CA,2,1934,6470,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,2,1933,5198,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,2,1932,5278,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,2,1931,9797,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,2,1930,17711,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,2,1929,19505,249109737,262827381,2060756201,316738,4556000,0,0.127539289156311
CA,3,1934,11046,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,3,1933,5883,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,3,1932,6541,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,3,1931,15689,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,3,1930,19898,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,3,1929,27286,249109737,262827381,2060756201,316738,4556000,0,0.127539289156311
CA,4,1934,11764,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,4,1933,7617,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,4,1932,6188,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,4,1931,15655,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,4,1930,18939,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,4,1929,25223,249109737,262827381,2060756201,316738,4556000,0,0.127539289156311
CA,5,1934,10803,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,5,1933,9304,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,5,1932,5928,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,5,1931,14272,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,5,1930,17802,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,5,1929,24252,249109737,262827381,2060756201,316738,4556000,0,0.127539289156311
CA,6,1934,12228,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,6,1933,11155,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,6,1932,8652,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,6,1931,13772,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,6,1930,16991,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,6,1929,21603,249109737,262827381,2060756201,316738,4556000,0,0.127539289156311
CA,7,1934,12631,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,7,1933,11697,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,7,1932,6270,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,7,1931,12892,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,7,1930,16408,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,7,1929,24362,249109737,262827381,2060756201,316738,4556000,0,0.127539289156311
CA,8,1934,13539,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,8,1933,10740,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,8,1932,6346,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,8,1931,11134,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,8,1930,15676,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,8,1929,24826,249109737,262827381,2060756201,316738,4556000,0,0.127539289156311
CA,9,1934,10811,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,9,1933,9635,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,9,1932,6021,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,9,1931,10048,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,9,1930,15405,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,9,1929,21488,249109737,262827381,2060756201,316738,4556000,0,0.127539289156311
CA,10,1934,9107,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,10,1933,8748,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,10,1932,5104,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,10,1931,7948,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,10,1930,13006,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,10,1929,21739,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,11,1934,7505,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,11,1933,7198,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,11,1932,4028,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,11,1931,5586,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,11,1930,9167,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,11,1929,15542,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,12,1934,5614,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,12,1933,4909,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,12,1932,3535,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,12,1931,5306,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,12,1930,9407,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CA,12,1929,10942,249109737,262827381,2060756201,316738,4556000,1,0.127539289156311
CO,1,1934,1534,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,1,1933,1175,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,1,1932,2095,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,1,1931,2343,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,1,1930,4154,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,1,1929,5647,12360267,27703012,184367947,31091,1090000,0,0.150259372362594
CO,2,1934,1149,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,2,1933,711,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,2,1932,876,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,2,1931,1367,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,2,1930,2126,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,2,1929,2573,12360267,27703012,184367947,31091,1090000,0,0.150259372362594
CO,3,1934,931,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,3,1933,488,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,3,1932,620,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,3,1931,1188,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,3,1930,1702,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,3,1929,2288,12360267,27703012,184367947,31091,1090000,0,0.150259372362594
CO,4,1934,2624,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,4,1933,1055,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,4,1932,1105,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,4,1931,2688,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,4,1930,3742,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,4,1929,5039,12360267,27703012,184367947,31091,1090000,0,0.150259372362594
CO,5,1934,1894,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,5,1933,1426,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,5,1932,1105,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,5,1931,2159,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,5,1930,3224,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,5,1929,4499,12360267,27703012,184367947,31091,1090000,0,0.150259372362594
CO,6,1934,2204,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,6,1933,1467,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,6,1932,1316,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,6,1931,2204,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,6,1930,2718,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,6,1929,4300,12360267,27703012,184367947,31091,1090000,0,0.150259372362594
CO,7,1934,1805,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,7,1933,1494,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,7,1932,733,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,7,1931,1759,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,7,1930,2273,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,7,1929,3785,12360267,27703012,184367947,31091,1090000,0,0.150259372362594
CO,8,1934,1760,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,8,1933,1215,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,8,1932,691,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,8,1931,1359,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,8,1930,1905,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,8,1929,3699,12360267,27703012,184367947,31091,1090000,0,0.150259372362594
CO,9,1934,1241,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,9,1933,894,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,9,1932,551,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,9,1931,1101,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,9,1930,1767,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
CO,9,1929,2389,12360267,27703012,184367947,31091,1090000,0,0.150259372362594
CO,10,1934,1220,12360267,27703012,184367947,31091,1090000,1,0.150259372362594
